ID,DESC,VNI,VXNAME
200,Ceph Access VLAN & Network ,550200,vni550201
201,Ceph Cluster VLAN & Network,550201,vni550202
202,Openstack Internal VLAN & Network,550202,vni550203
203,Openstack SelfService VLAN & Network,550203,vni550204
204,OVN Network,550204,vni550205
205,VLAN Peerlink Leaf  & border,,
55,Inband VLAN & Network,55055,vni55055
13,SOBUSPRD-WEBSVR,55013,vni55013
14,HCM-DB,55014,vni55014
15,HCM-APP,55015,vni55015
21,BI-APPS,55021,vni55021
22,SOBUSPRD-APPSVR,55022,vni55022
31,SOBUSPRD-DBSVR,55031,vni55031
41,SOBUSDEV-WEBSVR,55041,vni55041
61,SOBUSDEV-DBSVR,55061,vni55061
316,P2P_SVRSW2_SVRFW2,550316,vni550316
350,Strecth_VLAN_testing,550350,vni550350
351,test_Strech_OTV,550351,vni550351
352,test_strech_otv1,550352,vni550352
444,CBSPRD-SUP,550444,vni550444
445,SOBUS_PROD-MON_SERVER,550445,vni550445
555,CBSPRD-MGM,550555,vni550555
556,SOBUSPRD-IMM,550556,vni550556
558,SOBUSPRD-VMHOSTMGM,550558,vni550558
561,SOBUSDEV-ESXIMGM,550561,vni550561
562,storage_IHSAN,550562,vni550562
778,SOBUSPRDDEV-VMOTION,550778,vni550778
779,SOBUSPRD-HEARTBEAT,550779,vni550779
780,SOBUSDEV-HEARTBEAT,550780,vni550780
885,CBSPRD-CBR,550885,vni550885
886,CBSPRD-TAP,550886,vni550886
887,CBSPRD-TWB,550887,vni550887
888,CBSPRD-TDB,550888,vni550888
998,CBSDEV-TMP,550998,vni550998
64,IPMI_ILO,55064,vni55064
66,PROVISIONING,55066,vni55066
67,INTERNAL_API,55067,vni55067
68,TENANT,55068,vni55068
69,STORAGE,55069,vni55069
70,OSP_NETWORK_MGMT,55070,vni55070
71,EXT_PUBLIC_API,55071,vni55071
72,PROVIDER_NET1,55072,vni55072
73,PROVIDER_NET2,55073,vni55073
74,PROVIDER_NET3,55074,vni55074
75,PROVIDER_NET4,55075,vni55075
76,PROVIDER_NET5,55076,vni55076
77,PROVIDER_NET6,55077,vni55077
78,PROVIDER_NET7,55078,vni55078
79,PROVIDER_NET8,55079,vni55079
651,RHV_ADMIN,550651,vni550651
652,STORAGE_MGMT,550652,vni550652
653,NETAPP_MGMT,550653,vni550653
654,NETWORK_MGMT,550654,vni550654
51,Dev_Segment_01,55051,vni55051
52,mgmt_Switch_Dev,55052,vni55052
557,Dev_Segment_02,550557,vni550557
559,Dev_Segment_10,550559,vni550559
663,Dev_Segment_05,550663,vni550663
664,Dev_Segment_04,550664,vni550664
665,Dev_Segment_07,550665,vni550665
667,Dev_Segment_3rdParty,550667,vni550667
993,DEV-DEVOPS_01,550993,vni550993
994,DEV-DEVOPS_02,550994,vni550994
995,DEV-DEVOPS_03,550995,vni550995
996,Dev_Segment_06,550996,vni550996
997,Dev_Segment_09,550997,vni550997
90,DMZ_Segment,55090,vni55090
1001,Intranet-1,551001,vni551001
1002,Intranet-2,551002,vni551002
1003,Intranet-3,551003,vni551003
1004,Extranet-1,551004,vni551004
1005,Extranet-2,551005,vni551005
1006,Extranet-3,551006,vni551006
