SWITCH,BOND,IFACE,CLAG-ID,VLAN
LEAF,DC-CONTROLLER-1,swp2,2,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
LEAF,DC-CONTROLLER-2,swp4,4,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
LEAF,DC-CONTROLLER-3,swp6,6,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
LEAF,DC-COMPUTE-1,swp8,8,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
LEAF,DC-COMPUTE-2,swp10,10,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
LEAF,DC-COMPUTE-3,swp12,12,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
LEAF,DC-COMPUTE-4,swp14,14,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
LEAF,DC-COMPUTE-5,swp16,16,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
BORDER,DC-NEXUS-A,swp2s0,220,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
BORDER,DC-NEXUS-B,swp2s1,221,13;14;15;21;22;31;41;51;52;55;61;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;90;200;201;202;203;204;205;316;350;351;352;444;445;555;556;557;558;559;561;562;651;652;653;654;663;664;665;667;778;779;780;885;886;887;888;993;994;995;996;997;998;
BORDER,DC-CAT-A-B,swp10,10,1001;1002;1003;1004;1005;1006
